Date,Channel,Watch_Time
1/1/23,xQc,13119524
1/1/23,kingsleague,11118239
1/1/23,TheGrefg,10557618
1/1/23,auronplay,9864772
1/1/23,GamesDoneQuick,9788174
1/1/23,PaulinhoLOKObr,8746898
1/1/23,HasanAbi,7766126
1/1/23,ElSpreen,7375373
1/1/23,summit1g,7277675
1/1/23,ibai,7167716
2/1/23,KaiCenat,43065607
2/1/23,xQc,14122804
2/1/23,kingsleague,11098718
2/1/23,ESLCS,10581191
2/1/23,tarik,9453936
2/1/23,Gaules,8545934
2/1/23,ibai,7879887
2/1/23,Rainbow6,7237332
2/1/23,PaulinhoLOKObr,6913825
2/1/23,LEC,6366273
3/1/23,kingsleague,13403861
3/1/23,xQc,13031191
3/1/23,Gaules,11503637
3/1/23,ESLCS,10807797
3/1/23,loltyler1,7735846
3/1/23,ibai,7017797
3/1/23,loud_coringa,6986440
3/1/23,tarik,6564820
3/1/23,KaiCenat,6336618
3/1/23,PaulinhoLOKObr,6229845
4/1/23,xQc,15285237
4/1/23,Gaules,13567466
4/1/23,fps_shaka,9513961
4/1/23,tarik,8061929
4/1/23,ibai,7342061
4/1/23,ESL_DOTA2,7313206
4/1/23,handongsuk,6388571
4/1/23,loud_coringa,6222608
4/1/23,IlloJuan,5987748
4/1/23,HasanAbi,5689701
5/1/23,BLASTPremier,12652476
5/1/23,xQc,11657289
5/1/23,Gaules,11425489
5/1/23,kingsleague,9612664
5/1/23,riotgames,8998005
5/1/23,tarik,8562611
5/1/23,loud_coringa,7610453
5/1/23,eliasn97,7229752
5/1/23,ibai,7101762
5/1/23,KaiCenat,6878689
6/1/23,Fextralife,18104861
6/1/23,tarik,7947114
6/1/23,xQc,7672775
6/1/23,ibai,7626552
6/1/23,kingsleague,7468794
6/1/23,KaiCenat,7303230
6/1/23,Gaules,7260775
6/1/23,ironmouse,6882280
6/1/23,shroud,6612796
6/1/23,Quin69,6107731
7/1/23,ibai,29645616
7/1/23,fps_shaka,12859692
7/1/23,kingsleague,11860033
7/1/23,Gaules,9778700
7/1/23,darumaisgod,8803646
7/1/23,dota2_paragon_ru,7977317
7/1/23,KaiCenat,7924464
7/1/23,k3soju,6972303
7/1/23,Papaplatte,6920055
7/1/23,handongsuk,6724801
8/1/23,tarik,11045533
8/1/23,Gaules,10213119
8/1/23,eliasn97,8760247
8/1/23,VALORANT,7608917
8/1/23,RTAinJapan,6970182
8/1/23,Cellbit,5707713
8/1/23,Jynxzi,5672450
8/1/23,ESLCS,5054921
8/1/23,HasanAbi,5011274
8/1/23,RocketLeague,5010920
9/1/23,Gaules,10559243
9/1/23,handongsuk,8392001
9/1/23,Squeezie,7473589
9/1/23,eliasn97,7099272
9/1/23,KaiCenat,6969173
9/1/23,ESLCS,6478136
9/1/23,Jynxzi,5683892
9/1/23,shroud,5591851
9/1/23,Cellbit,5061195
9/1/23,ibai,4911446
10/1/23,dota2ti,13367528
10/1/23,riotgames,13351890
10/1/23,KaiCenat,12779101
10/1/23,fps_shaka,10017736
10/1/23,ibai,9716150
10/1/23,Nix,9299769
10/1/23,dota2ti_ru,8885870
10/1/23,Gaules,7784566
10/1/23,kato_junichi0817,6691675
10/1/23,HasanAbi,6140536
11/1/23,Echo_Esports,9488875
11/1/23,riotgames,8039056
11/1/23,Gaules,7111666
11/1/23,Maximum,6985140
11/1/23,ibai,6669208
11/1/23,zackrawrr,6666192
11/1/23,KaiCenat,6352513
11/1/23,IlloJuan,5753626
11/1/23,Papaplatte,5444164
11/1/23,fantasista_jp,5144994
12/1/23,fps_shaka,13007221
12/1/23,IlloJuan,7234437
12/1/23,KaiCenat,6740677
12/1/23,kato_junichi0817,6264610
12/1/23,Gaules,6198125
12/1/23,zackrawrr,6041014
12/1/23,RTAinJapan,5701922
12/1/23,Jynxzi,5663192
12/1/23,xQc,5466699
12/1/23,ibai,5396179